'a'ba'ga'qi 阿巴嘎旗
'qian'shan'xian 潜山县
'qian'shan'xian'gong'ye'yuan'qu'kai'fa'guan'li'wei'yuan'hui 铅山县工业园区开发管理委员会
'qian'shan'xian'guo'ying'sen'lin'miao'pu 铅山县国营森林苗圃
'qian'shan'xian'nong'ye'ke'xue'yan'jiu'suo 铅山县农业科学研究所
'qian'shan'xian'shui'dao'liang'zhong'chang 铅山县水稻良种场
'qian'shan'xiang 钱山乡
'qian'shan'xiang 前山乡
'qian'shan'xiang 千善乡
'qian'shan'zhen 钤山镇
'qian'shan'zhen 前山镇
'qian'shan'zhen 千山镇
'qian'shang'po'cun 前上坡村
'qian'shao'nong'chang 前哨农场
'qian'shao'yan'chang 前哨盐场
'qian'shi'men'cun 前石门村
'qian'shuang'jing'zhen 前双井镇
'qian'shui'zhen 浅水镇
'qian'su'qiao'cun 前苏桥村
'qian'sun'zhen 前孙镇
'qian'suo'jie'dao 前所街道
'qian'suo'xiang 前所乡
'qian'suo'zhen 前所镇
'qian'tai'tou'cun 前台头村
'qian'tan'zhen 乾潭镇
'qian'tang'zhen 钱塘镇
'qian'tang'zhen 乾塘镇
'qian'tao'bu'yi'zu'miao'zu'xiang 黔陶布依族苗族乡
'qian'tao'wa'cun 前桃洼村
'qian'tie'she'qu 前铁社区
'qian'ting'zhen 前亭镇
'qian'tong'zhen 前童镇
'qian'tong'zhen 千童镇
'qian'tou'gang'cun 前头港村
'qian'tuan'cun 前疃村
'qian'tun'she'qu 前屯社区
'qian'tun'xiang 钳屯乡
'qian'wan'guan'xiang 千万贯乡
'qian'wang'ge'zhuang'cun 前王各庄村
'qian'wang'hui'cun 前王会村
'qian'wang'xiang 钱旺乡
'qian'wei'gou'cun 前苇沟村
'qian'wei'jie'dao 前卫街道
'qian'wei'lin'chang 前卫林场
'qian'wei'xiang 前卫乡
'qian'wei'zhen 前卫镇
'qian'wu'xiang 前吴乡
'qian'wu'zhen 乾务镇
'qian'xi'guan'zhen 前西关镇
'qian'xi'nan'bu'yi'zu'miao'zu'zi'zhi'zhou 黔西南布依族苗族自治州
'qian'xi'nan'zhou 黔西南州
'qian'xi'xian 迁西县
'qian'xi'xian 黔西县
'qian'xi'xiang 乾西乡
'qian'xi'xiang 前溪乡
'qian'xi'yi'zu'miao'zu'bai'zu'xiang 千溪彝族苗族白族乡
'qian'xia'gong'zhuang'cun 前夏公庄村
'qian'xian 乾县
'qian'xian'xiang 前仙乡
'qian'xiang'xiang 钱相乡
'qian'xiang'zhen 千祥镇
'qian'xin'fang'cun 前辛房村
'qian'xin'zhen 铅锌镇
'qian'xin'zhuang'cun 前辛庄村
'qian'xue'ge'zhuang'cun 前薛各庄村
'qian'yan'cun 前沿村
'qian'yan'shang'cun 前堰上村
'qian'yan'zi'cun 前晏子村
'qian'yang'ge'zhuang'cun 前杨各庄村
'qian'yang'guan'li'chu 钤阳管理处
'qian'yang'xian 千阳县
'qian'yang'xiang 前阳乡
'qian'yang'xiang 前杨乡
'qian'yang'zhen 前阳镇
'qian'ye'chang'cun 前野厂村
'qian'yin'zi'cun 前银子村
'qian'ying'cun 前营村
'qian'ying'xiang 前营乡
'qian'ying'zhen 钱营镇
'qian'ying'zi'zhen 前营子镇
'qian'yong'kang'she'qu 前永康社区
'qian'you'zhen 乾佑镇
'qian'yu'cun 前榆村
'qian'yu'xiang 前域乡
'qian'yuan'hua'cun 前元化村
'qian'yuan'shang'cun 前苑上村
'qian'yuan'zhen 乾元镇
'qian'zhai'fu'cun 前寨府村
'qian'zhan'zhen 前詹镇
'qian'zhang'cun 前章村
'qian'zhen'qu 前镇区
'qian'zhou'jie'dao 乾州街道
'qian'zhou'zhen 前洲镇
'qian'zhu'ge'zhuang'cun 前朱各庄村
'qian'zi'zhong'zhen 前紫冢镇
'qiang'bai'zhen 羌白镇
'qiang'dui'xiang 强堆乡
'qiang'ga'xiang 强嘎乡
'qiang'jiao'zhen 强蛟镇
'qiang'ken'xiang 抢垦乡
'qiang'ma'zhen 强玛镇
'qiang'na'xiang 羌纳乡
'qiang'tou'xiang 墙头乡
'qiang'tou'zhen 墙头镇
'qiang'wan'xiang 强湾乡
'qiang'wei'xiang 羌圩乡
'qiang'zi'lu'cun 墙子路村
'qiao'ba'xiang 荍坝乡
'qiao'ban'xiang 桥板乡
'qiao'bao'zhen 巧报镇
'qiao'bei'jie'dao 桥北街道
'qiao'bei'xiang 桥北乡
'qiao'bei'zhen 桥北镇
'qiao'bian'zhen 桥边镇
'qiao'cha'tan'xiang 乔岔滩乡
'qiao'cheng'qu 谯城区
'qiao'chong'zhen 桥冲镇
'qiao'chuan'xiang 乔川乡
'qiao'da'xiang 乔达乡
'qiao'di'xiang 荞地乡
'qiao'di'zhen 桥底镇
'qiao'dian'xiang 樵店乡
'qiao'dian'zhen 乔甸镇
'qiao'dong'jie'dao 桥东街道
'qiao'dong'qu 桥东区
'qiao'dong'xiao'qu'ju'wei'hui 桥东小区居委会
'qiao'dong'zhen 谯东镇
'qiao'dong'zhen 桥东镇
'qiao'duan'zhen 乔端镇
'qiao'dun'cha'chang 桥墩茶场
'qiao'dun'zhen 桥墩镇
'qiao'er'jian'cun 桥耳涧村
'qiao'er'shan'jie'dao 雀儿山街道
'qiao'er'shen'ying'xiang 巧尔什营乡
'qiao'gang'zhen 侨港镇
'qiao'gong'xiang 桥巩乡
'qiao'gou'wan'xiang 乔沟湾乡
'qiao'gou'zhen 桥沟镇
'qiao'guan'zhen 乔官镇
'qiao'he'cha'xiang 桥河岔乡
'qiao'he'xiang 乔河乡
'qiao'hou'zhen 乔后镇
'qiao'hu'ying'cun 桥户营村
'qiao'ji'xiang 乔集乡
'qiao'jia'he'xiang 桥家河乡
'qiao'jia'wan'xiang 乔家湾乡
'qiao'jia'xian 巧家县
'qiao'jia'zhen 谯家镇
'qiao'jia'zhen 乔家镇
'qiao'jian'she'qu 乔建社区
'qiao'jian'zhen 乔建镇
'qiao'jiang'zhen 桥江镇
'qiao'kou'qu 硚口区
'qiao'kou'zhen 乔口镇
'qiao'kou'zhen 桥口镇
'qiao'la'ke'tie're'ke'xiang 乔拉克铁热克乡
'qiao'le'pan'xiang 乔勒潘乡
'qiao'le'xiang 乔乐乡
'qiao'li'xiang 乔利乡
'qiao'li'zhen 乔李镇
'qiao'liang'chang'di'er'she'qu 桥梁厂第二社区
'qiao'liang'chang'di'yi'she'qu 桥梁厂第一社区
'qiao'liang'chang'she'qu 桥梁厂社区
'qiao'lin'zhen 桥林镇
'qiao'long'xiang 桥龙乡
'qiao'lou'xiang 乔楼乡
'qiao'lou'xiang 桥楼乡
'qiao'lou'zhen 乔楼镇
'qiao'ma'zhen 巧马镇
'qiao'mai'ta'la'xiang 荞麦塔拉乡
'qiao'mei'jian'cun 瞧煤涧村
'qiao'meng'xiang 桥盟乡
'qiao'miao'xiang 乔庙乡
'qiao'mu'xiang 乔木乡
'qiao'nan'jie'dao 桥南街道
'qiao'nan'kai'fa'qu 桥南开发区
'qiao'nan'zhen 桥南镇
'qiao'qi'zang'zu'xiang 硗碛藏族乡
'qiao'ren'ha'sa'ke'zu'xiang 乔仁哈萨克族乡
'qiao'run'jie'dao 侨润街道
'qiao'shan'xiang 荞山乡
'qiao'shan'xiang 乔善乡
'qiao'shan'zhen 峤山镇
'qiao'shan'zhen 桥山镇
'qiao'shang'cun 桥上村
'qiao'shang'xiang 桥上乡
'qiao'shang'zhen 桥上镇
'qiao'she'zhen 樵舍镇
'qiao'shi'xiang 桥市乡
'qiao'shi'zhen 桥市镇
'qiao'si'xiang 桥寺乡
'qiao'si'zhen 乔司镇
'qiao'ting'xiang 桥亭乡
'qiao'tou'cun 桥头村
'qiao'tou'he'zhen 桥头河镇
'qiao'tou'hu'jie'dao 桥头胡街道
'qiao'tou'ji'zhen 桥头集镇
'qiao'tou'jie'dao 桥头街道
'qiao'tou'jie'xiang 桥头街乡
'qiao'tou'miao'zu'zhuang'zu'xiang 桥头苗族壮族乡
'qiao'tou'pu'zhen 桥头铺镇
'qiao'tou'xi'xiang 桥头溪乡
'qiao'tou'xiang 桥头乡
'qiao'tou'ying'cun 桥头营村
'qiao'tou'zhen 桥头镇
'qiao'tun'jie'dao 乔屯街道
'qiao'tun'xiang 乔屯乡
'qiao'wa'zhen 乔瓦镇
'qiao'wan'jie'dao 桥湾街道
'qiao'wan'xiang 桥湾乡
'qiao'wo'zhen 荞窝镇
'qiao'xi'jie'dao 桥西街道
'qiao'xi'qu 桥西区
'qiao'xi'xiang 桥西乡
'qiao'xi'xiang 桥溪乡
'qiao'xi'zhen 桥西镇
'qiao'xia'zhen 桥下镇
'qiao'xian'zhen 乔贤镇
'qiao'xu'zhen 桥圩镇
'qiao'ye'xiang 桥业乡
'qiao'yi'zhen 桥驿镇
'qiao'yin'xiang 乔音乡
'qiao'ying'jie'dao 侨英街道
'qiao'ying'xiang 巧英乡
'qiao'yu'xiang 锹峪乡
'qiao'zhen 桥镇
'qiao'zhen'xiang 桥镇乡
'qiao'zhong'jie'dao 桥中街道
'qiao'zhuang'bei'jie'ju'wei'hui 乔庄北街居委会
'qiao'zhuang'cun 乔庄村
'qiao'zhuang'zhen 乔庄镇
'qiao'zi'wan'xiang 桥自湾乡
'qiao'zi'xiang 乔梓乡
'qiao'zi'xuan'xiang 乔子玄乡
'qiao'zi'zhen 桥梓镇
'qie'er'ke'qi'xiang 切尔克齐乡
'qie'ji'xiang 切吉乡
'qie'mo'xian 且末县
'qie'mo'xiang 且莫乡
'qie'mu'er'qie'ke'xiang 切木尔切克乡
'qie'qiong'xiang 切琼乡
'qie're'xiang 切热乡
'qie'tuo'xiang 且拖乡
'qie'wa'xiang 切娃乡
'qie'xue'xiang 切学乡
'qie'zi'he'qu 茄子河区
'qie'zi'he'zhen 茄子河镇
'qie'zi'xi'jie'dao 茄子溪街道
'qin'an'xian 秦安县
'qin'bei'qu 钦北区
'qin'cai'ling'cun 芹菜岭村
'qin'cheng'cun 秦城村
'qin'cheng'qu 秦城区
'qin'cheng'xiang 沁城乡
'qin'cheng'xiang 秦城乡
'qin'cheng'zhen 琴城镇
'qin'chi'zhen 芹池镇
'qin'chuan'zhen 秦川镇
'qin'chun'jia'yuan'she'qu 沁春家园社区
'qin'cun'zhen 秦村镇
'qin'de'li'nong'chang 勤得利农场
'qin'dong'zhen 溱东镇
'qin'dong'zhen 秦东镇
'qin'du'qu 秦都区
'qin'du'zhen 秦渡镇
'qin'duan'kou'jie'dao 琴断口街道
'qin'feng'xiang 秦峰乡
'qin'feng'zhen 勤丰镇
'qin'gong'zhen 钦工镇
'qin'gu'zhen 秦古镇
'qin'guan'xiang 秦关乡
'qin'he'xiang 芹河乡
'qin'he'xiang 亲和乡
'qin'he'xiang 秦河乡
'qin'he'zhen 沁河镇
'qin'hong'jie'dao 秦虹街道
'qin'hu'feng'jing'qu 溱湖风景区
'qin'hua'xiang 琴华乡
'qin'huai'qu 秦淮区
'qin'huang'dao'jing'ji'ji'shu'kai'fa'qu 秦皇岛经济技术开发区
'qin'huang'dao'shi 秦皇岛市
'qin'ji'zhen 秦集镇
'qin'jia'dong'zhuang'cun 秦家东庄村
'qin'jia'tun'cun 秦家屯村
'qin'jia'tun'zhen 秦家屯镇
'qin'jia'zhen 秦家镇
'qin'jia'zhuang'zhen 秦家庄镇
'qin'jiang'zhen 琴江镇
'qin'lan'zhen 秦栏镇
'qin'lao'zhen 勤劳镇
'qin'ling'jie'dao 秦陵街道
'qin'ling'lu'jie'dao 秦岭路街道
'qin'ling'xiang 秦岭乡
'qin'lou'jie'dao 秦楼街道
'qin'nan'qu 钦南区
'qin'nan'zhen 秦南镇
'qin'qi'xiang 琴棋乡
'qin'qi'xiang 秦祁乡
'qin'qiao'xiang 秦桥乡
'qin'quan'zhen 芹泉镇
'qin'ren'xiang 亲仁乡
'qin'shan'zhen 秦山镇
'qin'shi'xiang 秦市乡
'qin'shui'xian 沁水县
'qin'shui'ying'cun 沁水营村
'qin'tang'xiang 钦堂乡
'qin'ting'zhen 琴亭镇
'qin'ting'zhen 秦亭镇
'qin'tong'zhen 溱潼镇
'qin'tuan'zhuang'xiang 秦团庄乡
'qin'wu'yao'cun 秦武姚村
'qin'xi'zhen 琴溪镇
'qin'xi'zhen 秦溪镇
'qin'xian 沁县
'qin'xu'xiang 秦许乡
'qin'yang'shi 沁阳市
'qin'yang'xiang 芹洋乡
'qin'yu'cun 芹峪村
'qin'yu'zhen 秦屿镇
'qin'yuan'jie'dao 沁园街道
'qin'yuan'xian 沁源县
'qin'zao'jie'dao 秦灶街道
'qin'zhou'qu 秦州区
'qin'zhou'shi 钦州市
'qin'zhuang'xiang 秦庄乡
'qing'an'jie'dao 清安街道
'qing'an'ping'xiang 青安坪乡
'qing'an'xian 庆安县
'qing'an'xian'she'qu'guan'li'wei'yuan'hui 庆安县社区管理委员会
'qing'an'zhen 庆安镇
'qing'bai'jiang'qu 青白江区
'qing'bai'kou'cun 青白口村
'qing'bai'shi'jie'dao 青白石街道
'qing'ban'xiang 青板乡
'qing'bo'jie'dao 清波街道
'qing'cao'zhen 青草镇
'qing'chang'zhen 青场镇
'qing'cheng'qu 清城区
'qing'cheng'shan'zhen 青城山镇
'qing'cheng'she'qu 清城社区
'qing'cheng'xian 庆城县
'qing'cheng'zhen 青城镇
'qing'cheng'zhen 庆城镇
'qing'cheng'zi'zhen 青城子镇
'qing'chi'jie'dao 清池街道
'qing'chi'zhen 清池镇
'qing'chou'xiang 謦愁乡
'qing'chuan'jie'dao 晴川街道
'qing'chuan'jing'ying'suo 青川经营所
'qing'chuan'xian 青川县
'qing'chuan'xiang 青川乡
'qing'chun'yuan'she'qu 青春苑社区
'qing'ci'yao'jie'dao 青磁窑街道
'qing'ci'yao'xiang 青磁窑乡
'qing'cun'zhen 青村镇
'qing'da'la'jie'dao 青达拉街道
'qing'da'men'xiang 青达门乡
'qing'dao'jie'dao 青岛街道
'qing'dao'shi 青岛市
'qing'dao'zhen 清道镇
'qing'de'li'xiang 青得里乡
'qing'de'xiang 青德乡
'qing'di'xiang 青堤乡
'qing'dian'cun 青甸村
'qing'dong'yuan'she'qu 晴冬园社区
'qing'dou'xiang 青都乡
'qing'dui'zhen 青堆镇
'qing'dui'zi'nong'chang 青堆子农场
'qing'dui'zi'zhen 青堆子镇
'qing'dun'zhen 青墩镇
'qing'duo'zhen 倾多镇
'qing'feng'dian'zhen 清风店镇
'qing'feng'jie'jie'dao 清风街街道
'qing'feng'nong'chang 青锋农场
'qing'feng'nong'chang 庆丰农场
'qing'feng'shan'xiang 青峰山乡
'qing'feng'xian 清丰县
'qing'feng'xiang 庆丰乡
'qing'feng'xiang 清风乡
'qing'feng'zhen 青峰镇
'qing'feng'zhen 庆丰镇
'qing'fu'xiang 青富乡
'qing'fu'zhen 青福镇
'qing'fu'zhen 庆符镇
'qing'gang'ji'xiang 青岗集乡
'qing'gang'jie'dao 青杠街道
'qing'gang'ling'hui'zu'yi'zu'xiang 青岗岭回族彝族乡
'qing'gang'xian 青冈县
'qing'gang'xiang 青岗乡
'qing'gang'yuan'zhong'chang 青冈原种场
'qing'gang'zhen 青冈镇
'qing'gang'zhen 青岗镇
'qing'gang'zhen 清港镇
'qing'gang'zhong'ma'chang 青冈种马场
'qing'gang'zhong'yang'chang 青冈种羊场
'qing'ge'da'hu'xiang 青格达湖乡
'qing'ge'le'bao'la'ge'su'mu 青格勒宝拉格苏木
'qing'gong'jie'dao 轻工街道
'qing'gong'lu'jie'dao 轻工路街道
'qing'gou'zi'xiang 青沟子乡
'qing'gu'ji'zhen 青固集镇
'qing'guang'zhen 青光镇
'qing'hai'hu'xiang 青海湖乡
'qing'hai'sheng 青海省
'qing'hai'sheng'hai'xi'zhou'mo'he'xu'mu'chang 青海省海西州莫河畜牧场
'qing'hai'sheng'men'yuan'jian'yu 青海省门源监狱
'qing'hai'sheng'men'yuan'zhong'ma'chang 青海省门源种马场
'qing'hai'sheng'qing'hai'hu'nong'chang 青海省青海湖农场
'qing'hai'sheng'san'jiao'cheng'zhong'yang'chang 青海省三角城种羊场
'qing'hai'shi'you'guan'li'ju 青海石油管理局
'qing'hai'shi'you'guan'li'ju'sheng'huo'ji'di 青海石油管理局生活基地
'qing'hai'you'tian'gong'si 青海油田公司
'qing'han'zhen 青罕镇
'qing'he'ban'shi'chu 清河办事处
'qing'he'cheng'zhen 清河城镇
'qing'he'jie'dao 清和街道
'qing'he'jie'dao 清河街道
'qing'he'kou'jie'dao 清河口街道
'qing'he'lao'jie'she'qu 清河老街社区
'qing'he'lin'ye'ju 清河林业局
'qing'he'men'qu 清河门区
'qing'he'mu'chang 清河牧场
'qing'he'nong'chang 青河农场
'qing'he'nong'chang'guan'li'qu 清河农场管理区
'qing'he'qu 清河区
'qing'he'su'mu 清河苏木
'qing'he'tou'xiang 清河头乡
'qing'he'xian 青河县
'qing'he'xian 清河县
'qing'he'xiang 青河乡
'qing'he'xiang 清和乡
'qing'he'xiang 清河乡
'qing'he'xiang'fu'yuan'lin'chang 清和乡富源林场
'qing'he'yi'xiang 清河驿乡
'qing'he'ying'cun 清河营村
'qing'he'yuan'she'qu 清和园社区
'qing'he'zhen 青河镇
'qing'he'zhen 庆和镇
'qing'he'zhen 清河镇
'qing'heng'xiang 庆恒乡
'qing'hu'xiang 清湖乡
'qing'hu'zhen 青湖镇
'qing'hu'zhen 清湖镇
'qing'hua'bian'zhen 青化砭镇
'qing'hua'jie'dao 青花街道
'qing'hua'jie'dao 庆华街道
'qing'hua'jie'dao 清华街道
'qing'hua'xiang 青化乡
'qing'hua'xiang 青华乡
'qing'hua'yuan'jie'dao 清华园街道
'qing'hua'zhen 青花镇
'qing'hua'zhen 青化镇
'qing'hua'zhen 青华镇
'qing'hua'zhen 庆华镇
'qing'hua'zhen 清化镇
'qing'hua'zhen 清华镇
'qing'ji'xiang 清集乡
'qing'jian'jie'dao 清涧街道
'qing'jian'xian 清涧县
'qing'jiang'jie'dao 青江街道
'qing'jiang'jie'dao 清姜街道
'qing'jiang'jie'dao 清江街道
'qing'jiang'qiao'xiang 清江桥乡
'qing'jiang'xiang 清江乡
'qing'jiang'zhen 清江镇
'qing'jie'she'zu'xiang 青街畲族乡
'qing'ju'zhen 青居镇
'qing'ken'pao'xiang 青肯泡乡
'qing'keng'lin'chang 青坑林场
'qing'kou'yan'chang 青口盐场
'qing'kou'zhen 青口镇
'qing'lan'shan'xiang 青岚山乡
'qing'lan'xiang 青兰乡
'qing'lang'dong'zu'miao'zu'xiang 青朗侗族苗族乡
'qing'lang'xiang 晴朗乡
'qing'lang'xiang 清浪乡
'qing'lian'zhen 青莲镇
'qing'liang'dian'zhen 清凉店镇
'qing'liang'feng'zhen 清凉峰镇
'qing'liang'jie'dao 清凉街道
'qing'liang'si'jie'dao 清凉寺街道
'qing'liang'si'xiang 青凉寺乡
'qing'liang'xiang 清凉乡
'qing'liang'zhen 清凉镇
'qing'lin'hui'zu'wei'wu'er'zu'xiang 青林回族维吾尔族乡
'qing'lin'lin'chang 青林林场
'qing'lin'miao'zu'yi'zu'xiang 青林苗族彝族乡
'qing'lin'tai'cun 青林台村
'qing'lin'xiang 青林乡
'qing'ling'cun 庆陵村
'qing'ling'man'zu'xiang 青岭满族乡
'qing'ling'xiang 青菱乡
'qing'ling'xiang 庆岭乡
'qing'ling'zhen 庆岭镇
'qing'liu'jie'dao 清流街道
'qing'liu'xian 清流县
'qing'liu'xiang 清流乡
'qing'liu'zhen 清流镇
'qing'long'chang'zhen 青龙厂镇
'qing'long'hu'zhen 青龙湖镇
'qing'long'ji'zhen 青龙集镇
'qing'long'jian'cun 青龙涧村
'qing'long'jie'dao 青龙街道
'qing'long'man'zu'zi'zhi'xian 青龙满族自治县
'qing'long'qiao'cun 青龙桥村
'qing'long'qiao'jie'dao 青龙桥街道
'qing'long'shan'lin'chang 青龙山林场
'qing'long'shan'nong'chang 青龙山农场
'qing'long'shan'zhen 青龙山镇
'qing'long'she'qu 青龙社区
'qing'long'tou'cun 青龙头村
'qing'long'xian 晴隆县
'qing'long'xiang 青龙乡
'qing'long'xiang 庆隆乡
'qing'long'zhen 青龙镇
'qing'luo'xiang 青洛乡
'qing'mai'xiang 青麦乡
'qing'ming'he'xiang 清明河乡
'qing'ming'qiao'jie'dao 清名桥街道
'qing'mu'chuan'zhen 青木川镇
'qing'mu'guan'zhen 青木关镇
'qing'mu'zhen 青木镇
'qing'na'xiang 青纳乡
'qing'ni'dong'xiang 青泥洞乡
'qing'ni'wa'qiao'jie'dao 青泥洼桥街道
'qing'ni'zhen 青泥镇
'qing'nian'cun'xiang 青年村乡
'qing'nian'gong'yuan'jie'dao 青年公园街道
'qing'nian'hu'bei'li'she'qu 青年湖北里社区
'qing'nian'hu'she'qu 青年湖社区
'qing'nian'jie'dao 青年街道
'qing'nian'ken'zhi'chang 青年垦殖场
'qing'nian'lin'chang 青年林场
'qing'nian'lou'she'qu 青年楼社区
'qing'nian'lu'jie'dao 青年路街道
'qing'nian'lu'xiao'qu'di'er'ju'wei'hui 青年路小区第二居委会
'qing'nian'lu'xiao'qu'di'san'ju'wei'hui 青年路小区第三居委会
'qing'nian'lu'xiao'qu'di'si'ju'wei'hui 青年路小区第四居委会
'qing'nian'lu'xiao'qu'di'yi'ju'wei'hui 青年路小区第一居委会
'qing'nian'nong'chang 青年农场
'qing'nian'zhen 青年镇
'qing'nian'zong'he'ken'zhi'chang 青年综合垦殖场
'qing'ning'xiang 青宁乡
'qing'ning'xiang 庆宁乡
'qing'niu'xiang 青牛乡
'qing'pian'xiang 青片乡
'qing'ping'jie'dao 清平街道
'qing'ping'jie'jie'dao 青屏街街道
'qing'ping'xiang 庆坪乡
'qing'ping'xiang 清平乡
'qing'ping'yi'zu'xiang 清平彝族乡
'qing'ping'zhen 青坪镇
'qing'ping'zhen 青平镇
'qing'ping'zhen 清坪镇
'qing'ping'zhen 清平镇
'qing'pu'jie'dao 庆葡街道
'qing'pu'qu 青浦区
'qing'pu'qu 清浦区
'qing'qi'jia'wei'hui 轻汽家委会
'qing'qian'zhen 清浅镇
'qing'qiao'yi'xiang 青桥驿乡
'qing'qu'zhen 青曲镇
'qing'quan'pu'cun 清泉铺村
'qing'quan'xiang 清泉乡
'qing'quan'zhen 清泉镇
'qing'ren'xiang 清仁乡
'qing'san'ying'xiang 清三营乡
'qing'shan'cha'ye'shi'yan'nong'chang 青山茶叶实验农场
'qing'shan'gou'zhen 青山沟镇
'qing'shan'hu'jie'dao 青山湖街道
'qing'shan'hu'qu 青山湖区
'qing'shan'jie'dao 青山街道
'qing'shan'jing'ying'suo 青山经营所
'qing'shan'kou'lin'chang 青山口林场
'qing'shan'kou'xiang 青山口乡
'qing'shan'lin'chang 青山林场
'qing'shan'lu'jie'dao 青山路街道
'qing'shan'miao'zu'xiang 青山苗族乡
'qing'shan'pu'zhen 青山铺镇
'qing'shan'qiao'xiang 青山桥乡
'qing'shan'qiao'zhen 青山桥镇
'qing'shan'qu 青山区
'qing'shan'quan'zhen 青山泉镇
'qing'shan'xiang 青山乡
'qing'shan'zhen 苘山镇
'qing'shan'zhen 青山镇
'qing'shan'zhen'jie'dao 青山镇街道
'qing'shang'yuan'she'qu 清上园社区
'qing'shen'xian 青神县
'qing'shen'xiang 青神乡
'qing'sheng'xiang 青胜乡
'qing'sheng'zhen 清升镇
'qing'shi'ju'zhen 青石咀镇
'qing'shi'ling'cun 青石岭村
'qing'shi'ling'zhen 青石岭镇
'qing'shi'shan'jie'dao 青石山街道
'qing'shi'tan'zhen 青狮潭镇
'qing'shi'xiang 青市乡
'qing'shi'xiang 青石乡
'qing'shi'zhen 青狮镇
'qing'shi'zhen 青石镇
'qing'shu'ping'zhen 青树坪镇
'qing'shu'zhen 青树镇
'qing'shu'zui'zhen 青树嘴镇
'qing'shui'he'ha'sa'ke'zu'xiang 清水河哈萨克族乡
'qing'shui'he'jie'dao 清水河街道
'qing'shui'he'lin'chang 清水河林场
'qing'shui'he'nong'chang 清水河农场
'qing'shui'he'xian 清水河县
'qing'shui'he'xiang 清水河乡
'qing'shui'he'zhen 清水河镇
'qing'shui'hu'cun 清水湖村
'qing'shui'jiang'xiang 清水江乡
'qing'shui'jie'dao 清水街道
'qing'shui'kou'zhen 清水口镇
'qing'shui'ping'zhen 清水坪镇
'qing'shui'pu'zhen 清水铺镇
'qing'shui'qiao'zhen 清水桥镇
'qing'shui'she'zu'xiang 青水畲族乡
'qing'shui'tai'jie'dao 清水台街道
'qing'shui'tai'zhen 清水台镇
'qing'shui'tan'cun 清水潭村
'qing'shui'tang'jie'dao 清水塘街道
'qing'shui'tu'jia'zu'xiang 清水土家族乡
'qing'shui'xian 清水县
'qing'shui'xiang 青水乡
'qing'shui'xiang 清水乡
'qing'shui'yi'xiang 清水驿乡
'qing'shui'yuan'she'qu 清水苑社区
'qing'shui'yuan'she'qu 清水园社区
'qing'shui'zhen 清水镇
'qing'si'xiang 青丝乡
'qing'song'ling'zhen 青松岭镇
'qing'song'xiang 青松乡
'qing'ta'dong'li'she'qu 青塔东里社区
'qing'ta'xi'li'she'qu 青塔西里社区
'qing'ta'xiang 青塔乡
'qing'tai'guan'lin'chang 青苔关林场
'qing'tai'ping'zhen 清太坪镇
'qing'tan'xiang 青潭乡
'qing'tang'pu'zhen 清塘铺镇
'qing'tang'zhen 青塘镇
'qing'tang'zhen 清塘镇
'qing'tang'zhuang'zu'xiang 清塘壮族乡
'qing'tian'xian 青田县
'qing'tian'xiang 青天乡
'qing'tong'guan'zhen 青铜关镇
'qing'tong'xia'shi 青铜峡市
'qing'tong'xia'zhen 青铜峡镇
'qing'tong'zhen 青同镇
'qing'tou'zhen 卿头镇
'qing'tu'jian'cun 青土涧村
'qing'tuan'zhen 青疃镇
'qing'tuo'ying'zhen 青坨营镇
'qing'tuo'zhen 青驼镇
'qing'wan'zhen 清湾镇
'qing'wan'zong'he'chang 清湾综合场
'qing'wang'po'zhen 青尪坡镇
'qing'wei'zhen 庆卫镇
'qing'xi'chang'zhen 清溪场镇
'qing'xi'jie'dao 清溪街道
'qing'xi'xiang 清溪乡
'qing'xi'zhen 青溪镇
'qing'xi'zhen 清溪镇
'qing'xia'zhen 青霞镇
'qing'xian 青县
'qing'xian'nong'chang 青先农场
'qing'xiang'ping'jie'dao 清香坪街道
'qing'xiang'zhen 勍香镇
'qing'xin'jie'dao 庆新街道
'qing'xin'xian 清新县
'qing'xin'yuan'she'qu 清欣园社区
'qing'xiu'qu 青秀区
'qing'xu'xian 清徐县
'qing'yan'zhen 青岩镇
'qing'yang'cha'zhen 青阳岔镇
'qing'yang'di'qu 庆阳地区
'qing'yang'guo'ying'lin'ye'zong'chang'bei'chuan'lin'chang 庆阳国营林业总场北川林场
'qing'yang'guo'ying'lin'ye'zong'chang'da'shan'men'lin'chang 庆阳国营林业总场大山门林场
'qing'yang'guo'ying'lin'ye'zong'chang'hao'ju'pu'lin'chang 庆阳国营林业总场蒿咀铺林场
'qing'yang'guo'ying'lin'ye'zong'chang'lian'bian'lin'chang 庆阳国营林业总场连砭林场
'qing'yang'guo'ying'lin'ye'zong'chang'ping'ding'chuan'lin'chang 庆阳国营林业总场平定川林场
'qing'yang'guo'ying'lin'ye'zong'chang'tai'bai'lin'chang 庆阳国营林业总场太白林场
'qing'yang'guo'ying'lin'ye'zong'chang'tuo'yuan'lin'chang 庆阳国营林业总场拓塬林场
'qing'yang'hu'xiang 庆阳湖乡
'qing'yang'jie'dao 青阳街道
'qing'yang'jie'dao 庆阳街道
'qing'yang'jie'dao 清洋街道
'qing'yang'jing'ying'suo 青杨经营所
'qing'yang'miao'zu'ge'lao'zu'dong'zu'xiang 青阳苗族仡佬族侗族乡
'qing'yang'nong'chang 庆阳农场
